id,category_name,name,plural_name,priority,slug,image_name,age,search_index,search_query,recommended_quantity,updated_at,ECO MOM NAME,ECO LINK,UPSCALE NAME,UPSCALE LINK,COST CONSCIOUS NAME,COST CONSCIOUS LINK,EXTRA NAME,EXTRA LINK,TWINS NAME,TWINS LINK
13,Expecting,Prenatal Vitamins,Prenatal Vitamins,1,prenatal-vitamins,products/icons/prenatal_vitamins@2x.png,0-3 mo,All,quality prenatal vitamins,1,2013-11-08 13:43:46 UTC,Rainbow Light Organic Multivitamin,http://www.amazon.com/Rainbow-Light-Prenatal-Multivitamin-120-Count/dp/B0033ZDGQY/ref=sr_1_11?ie=UTF8&qid=1386793023&sr=8-11&keywords=prenatal+vitamin,Rainbow Light Just Once Prenatal One Multivitamin,http://www.amazon.com/Rainbow-Light-Prenatal-Multivitamin-tablets/dp/B00115BJ30%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00115BJ30,Rainbow Light Complete Prenatal System,http://www.amazon.com/Rainbow-Light-Complete-Prenatal-360-Count/dp/B000Z9577C/ref=sr_1_12?ie=UTF8&qid=1386793023&sr=8-12&keywords=prenatal+vitamin,Jarrow Formula Pregnatal + DHA,http://www.amazon.com/Jarrow-PregNatal-DHA-30-Packets/dp/B0001VKL7K/ref=sr_1_1?ie=UTF8&qid=1386793152&sr=8-1&keywords=jarrow+prenatal,,
5,Expecting,Maternity Pants,Maternity Pants,1,maternity-pants,products/icons/maternity_pants@2x.png,0-3 mo,All,maternity jeans,3,2013-11-19 19:43:02 UTC,Three Season Bootcut Maternity Jeans,http://www.amazon.com/Three-Seasons-Maternity-Womens-Bootcut/dp/B0083RKD7M/ref=sr_1_3?ie=UTF8&qid=1386793959&sr=8-3&keywords=bootcut+maternity+jeans,Paige Maternity Jeans,http://www.amazon.com/PAIGE-Womens-Maternity-Laurel-Canyon/dp/B0036B8S86/ref=sr_1_9?ie=UTF8&qid=1386793561&sr=8-9&keywords=paige+maternity+jeans,Old Navy Bootcut Maternity Jeans,http://www.amazon.com/Old-Navy-Maternity-Smooth-Panel/dp/B00DWG4H5I/ref=sr_1_1?ie=UTF8&qid=1386793444&sr=8-1&keywords=old+navy+maternity+jeans,Motherhood Boot Cut Jeans,http://www.amazon.com/Motherhood-Indigo-Secret-Signature-Maternity/dp/B00DW65SB0/ref=sr_1_3?ie=UTF8&qid=1386793638&sr=8-3&keywords=maternity+jeans,,
4,Expecting,Maternity Shirt,Maternity Shirts,1,maternity-shirt,products/icons/maternity_shirt@2x.png,0-3 mo,All,maternity blouse,6,2013-11-19 19:42:56 UTC,Splendid Long Sleeve Maternity Henley T-Shirt,http://www.amazon.com/Splendid-Sleeve-Henley-Shoulder-Maternity/dp/B00EVRR91Q/ref=sr_1_2?s=apparel&ie=UTF8&qid=1386795483&sr=1-2&keywords=splendid+maternity,Splendid Long Sleeve Maternity Top,http://www.amazon.com/Splendid-Long-Sleeve-Scoop-Maternity/dp/B0099NPZ6S/ref=sr_1_5?s=apparel&ie=UTF8&qid=1386795491&sr=1-5&keywords=splendid+maternity,Motherhood Short Sleeve Henley Maternity T-Shirt,http://www.amazon.com/Motherhood-Sleeve-Henley-Collar-Maternity/dp/B00BY48PVC/ref=sr_1_4?ie=UTF8&qid=1386795206&sr=8-4&keywords=maternity+shirts+under+%2410.00,GAP Longsleeve Maternity T-Shirt,http://www.amazon.com/Gap-Pure-Body-Long-Sleeve/dp/B0094UEEWM/ref=sr_1_2?ie=UTF8&qid=1386795141&sr=8-2&keywords=gap+maternity+shirt,,
18,Nursing,Nursing Pillow,Nursing Pillows,1,nursing-pillow,products/icons/nursing_pillow@2x.png,0-3 mo,All,,1,2013-06-27 13:56:27 UTC,Organic My Brest Friend Nursing Pillow,http://www.amazon.com/My-Brest-Friend-Breastfeeding-Natural/dp/B002IID23Y/ref=sr_1_1?ie=UTF8&qid=1386795643&sr=8-1&keywords=organic+my+brest+friend,My Brest Friend Nursing Pillow,http://www.amazon.com/My-Brest-Friend-Pillow-Sunburst/dp/B000HZEQSU%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000HZEQSU,Nursit Nursing Pillow,http://www.amazon.com/NurSit-Nursing-Pillow-Removable-Slipcover/dp/B00BWRPB8G/ref=sr_1_5?ie=UTF8&qid=1386795730&sr=8-5&keywords=nursing+pillow,Boppy Nursing Pillow,http://www.amazon.com/Boppy-Pillow-Slipcover-Lots-Dots/dp/B001GIOPH4/ref=sr_1_2?ie=UTF8&qid=1386795780&sr=8-2&keywords=boppy,,
37,Playing,Blocks,Blocks,1,blocks,products/icons/blocks@2x.png,13-18 mo,All,,1,2013-06-27 13:56:29 UTC,Wooden Blocks Toddler Package,http://www.amazon.com/Wooden-toddlers-package-natural-building/dp/B006T31FC4/ref=sr_1_35?ie=UTF8&qid=1386795941&sr=8-35&keywords=wood+blocks,Melissa & Doug Standard Unit Block Set,http://www.amazon.com/Melissa-Doug-60-Piece-Standard-Blocks/dp/B00008W72D/ref=sr_1_1?ie=UTF8&qid=1386795802&sr=8-1&keywords=blocks,PlanToys 50 Construction Set,http://www.amazon.com/Plan-Toys-0553500-PlanToys-Construction/dp/B0015D2522/ref=sr_1_5?ie=UTF8&qid=1386795872&sr=8-5&keywords=wood+blocks,,,,
45,Playing,Crayons,Crayons,1,crayons,products/icons/crayons@2x.png,13-18 mo,All,,1,2013-06-27 13:56:31 UTC,Stockmar Beeswax Crayons,http://www.amazon.com/Stockmar-Beeswax-Crayons-Storage-Assortment/dp/B0013MZA6S/ref=sr_1_7?ie=UTF8&qid=1386796133&sr=8-7&keywords=organic+crayons,Melissa & Doug Triangular Crayon Set,http://www.amazon.com/Melissa-Doug-Triangular-Crayon-24-Piece/dp/B00851EHAA/ref=sr_1_3?ie=UTF8&qid=1386796237&sr=8-3&keywords=melissa+and+doug+crayons,Crayola 64 Ct. Crayons,http://www.amazon.com/Crayola-52-0064-64-Ct-Crayons/dp/B00004YO15/ref=sr_1_1?ie=UTF8&qid=1386796090&sr=8-1&keywords=crayons,,,,
53,Playing,Grasping Toy,Grasping Toys,1,grasping-toy,products/icons/grasping_toy@2x.png,0-3 mo,All,,1,2013-06-27 13:56:32 UTC,Manhattan Toy Natural Skwish Rattle,http://www.amazon.com/Manhattan-Toy-Natural-Skwish-Rattle/dp/B001QKIVO0/ref=sr_1_3?ie=UTF8&qid=1386796428&sr=8-3&keywords=Skwish,Manhattan Toy Winkel,http://www.amazon.com/Manhattan-Toy-200940-Winkel/dp/B000BNCA4K%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000BNCA4K,Rhino Toys Oball,http://www.amazon.com/Rhino-Toys-Oball-Original-Colors/dp/B000BNC9DM%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000BNC9DM,Manhattan Toy Skwish Classic,http://www.amazon.com/Manhattan-Toy-200980-Skwish-Classic/dp/B000GI0S4E/ref=pd_sim_t_3,,
33,Playing,Ball,Balls,1,ball,products/icons/ball@2x.png,4-6 mo,All,Toddler Ball,1,2013-07-30 17:12:14 UTC,Edushape Sensory See Me Balls,http://www.amazon.com/Edushape-Sensory-See-Me-Balls/dp/B0090RXNZS/ref=sr_1_3?ie=UTF8&qid=1386796877&sr=8-3&keywords=edushape+ball,Oball,http://www.amazon.com/Rhino-Toys-Oball-Original-Colors/dp/B000BNC9DM/ref=sr_1_1?ie=UTF8&qid=1386796991&sr=8-1&keywords=oball,Infantino Textured Multi Ball Set,http://www.amazon.com/Infantino-Textured-Multi-Ball-Set/dp/B00DJPK8PA/ref=sr_1_10?ie=UTF8&qid=1386796566&sr=8-10&keywords=ball,Edushape Sensory Balls,http://www.amazon.com/Edushape-See-Me-Sensory-Balls-Translucent/dp/B001AMK6G0/ref=sr_1_15?ie=UTF8&qid=1386796480&sr=8-15&keywords=ball,,
34,Playing,Bath Toy,Bath Toys,1,bath-toy,products/icons/bath_toy@2x.png,7-12 mo,All,,1,2013-07-30 17:12:14 UTC,Green Sprouts Stacking Cups,http://www.amazon.com/green-sprouts-Stacking-Colors-vary/dp/B002KCNEDG/ref=sr_1_2?ie=UTF8&qid=1386797025&sr=8-2&keywords=green+sprouts+bath+cups,Boon Water Bugs Floating Bath Toys,http://www.amazon.com/Boon-Water-Bugs-Floating-Green/dp/B0063A9IY0/ref=sr_1_5?ie=UTF8&qid=1386797347&sr=8-5&keywords=green+toys+bath,ALEX Toys Bathtime Fun Hoops,http://www.amazon.com/ALEX%C2%AE-Toys-Bathtime-Fun-Hoops/dp/B00009NQQO/ref=sr_1_7?ie=UTF8&qid=1386797074&sr=8-7&keywords=bath+toys,ALEX Toys Bathtime Fun Dirty Dishes,http://www.amazon.com/ALEX%C2%AE-Toys-Bathtime-Dirty-Dishes/dp/B0039QPK66/ref=sr_1_1?ie=UTF8&qid=1386797230&sr=8-1&keywords=bath+toys+dishes,,
101,Sleeping,Swaddle Blanket,Swaddle Blankets,1,swaddle-blanket,products/icons/swaddling_blanket@2x.png,0-3 mo,All,,3,2013-11-19 19:47:34 UTC,aden + anais Organic Cotton Muslin Swaddle Blanket,http://www.amazon.com/aden-anais-Organic-Swaddle-Blanket/dp/B00E9F3LZS/ref=sr_1_2?ie=UTF8&qid=1386797822&sr=8-2&keywords=aden+anais+organic,aden + anais Classic Muslin Swaddle Blanket,http://www.amazon.com/aden-anais-Classic-Swaddle-Blanket/dp/B002SW3B0O/ref=sr_1_4?ie=UTF8&qid=1386797774&sr=8-4&keywords=aden+anais+blanket,Summer Infant Muslin Swaddling Blankets,http://www.amazon.com/Summer-Infant-SwaddleSquare-Muslin-Blanket/dp/B006GH4QS8/ref=sr_1_12?s=baby-products&ie=UTF8&qid=1386797862&sr=1-12&keywords=swaddle+blanket,Hudson Baby Muslin Swaddle Blanket,http://www.amazon.com/Hudson-Baby-Muslin-Swaddle-Blanket/dp/B006VZ50BC/ref=sr_1_7?ie=UTF8&qid=1386797927&sr=8-7&keywords=swaddle+blankets,,
