Clothing (Default - On),Plural,,Default Priority,Default When to Buy,Image Name,High Res Image,Queries,Contingencies
Bodysuit,Bodysuits,,1,Pre-birth,bodysuit.png,bodysuit@2x.png,,
Dress,Dresses,,2,Pre-birth,dress.png,dress@2x.png,,
Outerwear,Outerwear,,2,Pre-birth,outerwear.png,outerwear@2x.png,,
Sweater,Sweaters ,,2,Pre-birth,sweater.png,sweater@2x.png,,
Romper,Rompers,,2,Pre-birth,romper.png,romper@2x.png,,
Pants,Pants,,2,Pre-birth,pants.png,pants@2x.png,,
Shirt,Shirts,,2,Pre-birth,shirt.png,shirt@2x.png,,
Booties,Booties,,2,Pre-birth,booties.png,booties@2x.png,,
Socks,Socks,,1,Pre-birth,socks.png,socks@2x.png,,
Shoes,Shoes,,2,7-12 mo,shoes.png,shoes@2x.png,,
Sleepwear,Sleepwear,,1,Pre-birth,sleepwear.png,sleepwear@2x.png,,
Leggings,Leggings,,2,Pre-birth,leggings.png,leggings@2x.png,,
Skirt,Skirts,,2,Pre-birth,skirt.png,skirt@2x.png,,
Accessory,Accessories,,3,Pre-birth,accessory.png,accessory@2x.png,,
Hat,Hats,,2,7-12 mo,hat.png,hat@2x.png,,
Infant Cap,Infant Caps,,1,Pre-birth,infant_cap.png,infant_cap@2x.png,,
Sunglasses,Sunglasses,,3,13-18 mo,sunglasses.png,sunglasses@2x.png,,
Infant Gown,Infant Gowns,,3,Pre-birth,infant_gown.png,infant_gown@2x.png,,
Shorts,Shorts,,2,Pre-birth,shorts.png,shorts@2x.png,,
Underwear,Underwear,,2,19-24 mo,underwear.png,underwear@2x.png,,
Headband,Headbands,,3,Pre-birth,headband.png,headband@2x.png,,
