Decorating (default pre-birth) ,Plural,Default Priority,Default When to Buy,Image Name,High Res Image,Queries,Contingencies
Mobile,Mobiles,2,Pre-birth,mobile.png,mobile@2x.png,,
Decorative Pillow,Decorative Pillows,3,Pre-birth,decorative_pillow.png,decorative_pillow@2x.png,,
Decals,Decals,3,Pre-birth,decal.png,decal@2x.png,,
Clock,Clocks,3,Pre-birth,clock.png,clock@2x.png,,
Wastebasket,Wastebaskets,3,Pre-birth,wastebasket.png,wastebasket@2x.png,,
Hamper,Hampers,2,Pre-birth,hamper.png,hamper@2x.png,,
Night Light,Night Lights,2,Pre-birth,night_light.png,night_light@2x.png,,
Lamp,Lamps,3,Pre-birth,lamp.png,lamp@2x.png,,
Chandelier,Chandeliers,3,Pre-birth,chandelier.png,chandelier@2x.png,,
Curtains or Window Treatment,Curtains or Window Treatments,3,Pre-birth,curtains.png,curtains@2x.png,,
Rug,Rugs,3,Pre-birth,rug.png,rug@2x.png,,
Keepsake,Keepsakes,3,Pre-birth,keepsake.png,keepsake@2x.png,,
Valance,Valances,3,Pre-birth,valance.png,valance@2x.png,,
Floor Mat,Floor Mats,2,Pre-birth,floor_mat.png,floor_mat@2x.png,,
Kids Reading Chair,Kids Reading Chairs,2,13-18 mo,reading_chair.png,reading_chair@2x.png,,
