Playing (default pre-birth),Plural,,Default Priority,Default When to Buy,Image Name,High Res Image,Queries,Contingencies,Image Pulled,Icon Created,,,
Activity Gym,Activity Gyms,,2,4-6 mo,activity_gym.png,activity_gym@2x.png,,,x,x,,,
Animals,Animals,,2,7-12 mo,animals.png,animals@2x.png,,,x,x,,,
Art Table,Art Tables,,3,19-24 mo,art_table.png,art_table@2x.png,,,x,x,2y,Rural,Cloth Diapers
Baby Swing,Baby Swings,,2,0-3 mo,baby_swing.png,baby_swing@2x.png,,,x,x,,,
Balance Bike,Balance Bikes,,2,3y,balance_bike.png,balance_bike@2x.png,,,x,x,,,
Ball,Balls,,1,4-6 mo,ball.png,ball@2x.png,,,x,x,,,
Bath Toy,Bath Toys,,1,7-12 mo,bath_toy.png,bath_toy@2x.png,,,x,x,(same as in bathing),,
Beads or Jewelry,Beads or Jewelry,,3,3y,beads_jewelry.png,beads_jewelry@2x.png,,,x,x,,,
Bicycle,Bicycles,Kids Bicycle,2,5y+,bicycle.png,bicycle@2x.png,,,x,x,,,
Blocks,Blocks,,1,13-18 mo,blocks.png,blocks@2x.png,,,x,x,,,
Building Set,Building Sets,,2,2y,building_set.png,building_set@2x.png,,,x,x,,,Bassinet
Car or Truck,Cars or Trucks,,2,13-18 mo,car_or_truck.png,car_or_truck@2x.png,,,x,x,,,
Car Seat Toy,Car Seat Toys,,3,7-12 mo,car_seat_toy.png,car_seat_toy@2x.png,,,x,x,,,
Colored Pencils,Colored Pencils,,2,2y,colored_pencils.png,colored_pencils@2x.png,,,x,x,4y,Urban,Baby Food Chef
Coloring or Activity Book,Coloring or Activity Books,,2,2y,coloring_book.png,coloring_book@2x.png,,,x,x,5y+,Very Urban,Baby Food Jars
Construction Set,Construction Sets,,3,2y,construction_set.png,construction_set@2x.png,,,x,x,,,Some combination of sleeping options
Craft Set,Craft Sets,,3,3y,craft_set.png,craft_set@2x.png,,,x,x,,,
Crayons,Crayons,,1,13-18 mo,crayons.png,crayons@2x.png,,,x,x,,,
Crib Toy,Crib Toys,,3,4-6 mo,crib_toy.png,crib_toy@2x.png,,,x,x,,,
Doll,Dolls,,2,7-12 mo,doll.png,doll@2x.png,,,x,x,,,
Doll House,Doll Houses,,3,2y,doll_house.png,doll_house@2x.png,,,x,x,,,Cautious
Door Jumper,Door Jumpers,,3,4-6 mo,door_jumper.png,door_jumper@2x.png,,,x,x,,,
Exersauser,Exersausers,,2,7-12 mo,exersaucer.png,exersaucer@2x.png,,,x,x,,,
Game,Games,,2,2y,game.png,game@2x.png,,,x,x,,,Zip Code
Gardening,Gardening,,3,2y,gardening.png,gardening@2x.png,,,x,x,,,
Grasping Toy,Grasping Toys,,1,0-3 mo,grasping_toy.png,grasping_toy@2x.png,,,x,x,,,
Halloween Costume,Halloween Costumes,,3,Pre-birth,halloween_costume.png,halloween_costume@2x.png,,,x,x,,,
Helmet,Helmets,Baby Helmet,2,3y,helmet.png,helmet@2x.png,,,x,x,,,
Lawn Game,Lawn Games,,3,13-18 mo,lawn_game.png,lawn_game@2x.png,,,x,x,4-6 mo,Eco,Both bf/bottle
Movie,Movies,,3,2y,movie.png,movie@2x.png,,,x,x,,,Mellow
Music,Music,Baby Music,2,0-3 mo,music.png,music@2x.png,,,x,x,,,
Playhouse,Playhouses,,2,13-18 mo,playhouse.png,playhouse@2x.png,,,x,x,0-3 mo,First-Timer,Bottlefeeding
Pool Toy,Pool Toys,,3,13-18 mo,pool_toy.png,pool_toy@2x.png,,,x,x,7-12 mo,Thrifty,Carrier
Puppet,Puppets,,3,7-12 mo,puppet.png,puppet@2x.png,,,x,x,,,
Puzzle,Puzzles,,2,13-18 mo,puzzle.png,puzzle@2x.png,,,x,x,,,
Ride-On Toy,Ride-On Toys,,2,13-18 mo,ride_on_toy.png,ride_on_toy@2x.png,,,x,x,,Sheek,Cosleeper
Sand Box,Sand Boxes,,3,7-12 mo,sandbox.png,sandbox@2x.png,,,x,x,,,
Sand Toy,Sand Toys,,3,13-18 mo,sand_toy.png,sand_toy@2x.png,,,x,x,13-18 mo,Jetsetter,Stroller
Scooter,Scooters,,3,2y,scooter.png,scooter@2x.png,,,x,x,,,Crib
Sidewalk Chalk,Sidewalk Chalk,,2,13-18 mo,sidewalk_chalk.png,sidewalk_chalk@2x.png,,,x,x,,,
Sled,Sleds,,3,2y,sled.png,sled@2x.png,,,x,x,,,
Smock,Smocks,,3,13-18 mo,smock.png,smock@2x.png,,,x,x,,,
Stuffed Animal,Stuffed Animals,,2,4-6 mo,stuffed_animal.png,stuffed_animal@2x.png,,,x,x,,,
Swing set,Swing Sets,,3,7-12 mo,swing_set.png,swing_set@2x.png,,,x,x,,,
Train,Trains,,2,13-18 mo,train.png,train@2x.png,,,x,x,,,
Train Set,Train Sets,,2,13-18 mo,train_set.png,train_set@2x.png,,,x,x,,,
Tricycle,Tricycles,,2,19-24 mo,tricycle.png,tricycle@2x.png,,,x,x,,,
Tummy Time Mat,Tummy Time Mats,,2,0-3 mo,tummy_time_mat.png,tummy_time_mat@2x.png,,,x,x,,,
Wagon,Wagons,,2,13-18 mo,wagon.png,wagon@2x.png,,,x,x,,,
Walker,Walkers,Baby Walker,3,7-12 mo,walker.png,walker@2x.png,,,x,x,,,
Water Table,Water Tables,,2,13-18 mo,water_table.png,water_table@2x.png,,,x,x,,,
