Sleeping (default pre-birth),Plural,,Default Priority,Default When to Buy,Image Name,High Res Image,Queries,Contingencies,Image Pulled,Icon Created
Monitor,Monitors,,2,Pre-birth,baby_monitor.png,baby_monitor@2x.png,,-moves to 1 for cautious mom,x,
Night Light,Night Lights,,2,Pre-birth,night_light.png,night_light@2x.png,,,x,
White Noise Machine,White Noise Machines,,2,Pre-birth,white_noise_machine.png,white_noise_machine@2x.png,,,x,
Crib,Cribs,,2,4-6 mo,crib.png,crib@2x.png,,"-moves to 1 if crib chosen, 3 if not chosen",x,
Bassinet/Cradle,Bassinets/Cradles,,2,Pre-birth,bassinet.png,bassinet@2x.png,,"-moves to 1 if bassinet chosen, 3 if not chosen",x,
Co-Sleeper,Co-Sleepers,,2,Pre-birth,cosleeper.png,cosleeper@2x.png,,-moves to 3 if neither co-sleeping or bassinet is chosen,x,
Co-Sleeper Sheets,Co-Sleeper Sheets,,2,Pre-birth,cosleeper_sheets.png,cosleeper_sheets@2x.png,,-moves to 3 if neither co-sleeping or bassinet is chosen,x,
Bassinet Sheets,Bassinet Sheets,,2,Pre-birth,bassinet_sheets.png,bassinet_sheets@2x.png,,"-moves to 1 if bassinet chosen, 3 if not chosen",x,
Crib Sheets,Crib Sheets,,2,4-6 mo,crib_sheets.png,crib_sheets@2x.png,,"-moves to 1 if crib chosen, 3 if not chosen",x,
Portable Crib,Portable Cribs,,3,4-6 mo,portable_crib.png,portable_crib@2x.png,,-moves to 2 for jetsetter,x,
Toddler Bed,Toddler Beds,,2,2y,toddler_bed.png,toddler_bed@2x.png,,,x,
Toddler Bed Sheets,Toddler Bed Sheets,,2,2y,toddler_bed_sheets.png,toddler_bed_sheets@2x.png,,,x,
Portable Crib Sheets,Portable Crib Sheets,,3,4-6 mo,portable_crib_sheets.png,portable_crib_sheets@2x.png,,-moves to 2 for jetsetter,x,
Twin Bed,Twin Beds,,3,5y+,twin_bed.png,twin_bed@2x.png,,,x,
Toddler Pillow,Toddler Pillows,,3,2y,toddler_pillow.png,toddler_pillow@2x.png,,,x,
Mobile,Mobiles,,2,Pre-birth,mobile.png,mobile@2x.png,,,x,
Blanket,Blankets,,3,2y,blanket.png,receiving_blanket@2x.png,,,x,
Wearable Blanket,Wearable Blankets,,3,Pre-birth,wearable_blanket.png,wearable_blanket@2x.png,,,x,
Nap Mat,Nap Mats,,3,13-18 mo,nap_mat.png,nap_mat@2x.png,,,x,
Crib Bumper,Crib Bumpers,,3,13-18 mo,crib_bumper.png,crib_bumper@2x.png,,,x,
Lovey/Security Blanket,Loveys/Security Blankets,,3,7-12 mo,lovey.png,lovey@2x.png,,,x,
Receiving Blanket,Receiving Blankets,,1,Pre-birth,receiving_blanket.png,receiving_blanket@2x.png,,,x,
Swaddle Blanket,Swaddle Blankets,,1,Pre-birth,swaddling_blanket.png,swaddling_blanket@2x.png,,,x,
Swaddle Sack,Swaddle Sacks,,2,Pre-birth,swaddle_sack.png,swaddle_sack@2x.png,,,x,
Mattress Pad,Mattress Pads,,3,0-3 mo,mattress_pad.png,mattress_pad@2x.png,,,x,
Crib Wedge,Crib Wedges,,3,0-3 mo,crib_wedge.png,crib_wedge@2x.png,,,x,
Crib Mattress,Crib Mattresses,,2,Pre-birth,crib_mattress.png,mattress@2x.png,,,x,
Toddler Bed Mattress,Toddler Bed Mattresses,,2,2y,crib_mattress.png,mattress@2x.png,,,same as crib,
Futon,Futons,,2,19-24 mo,futon.png,futon@2x.png,,,x,
Pacifier,Pacifers,,2,Pre-birth,pacifier.png,pacifier@2x.png,,,x,
Rocking Chair or Glider,Rocking Chairs or Gliders,,2,Pre-birth,glider.png,glider@2x.png,,,x,
Swing,Swings,,2,Pre-birth,baby_swing.png,baby_swing@2x.png,,,in playing,
Bouncy Chair,Bouncy Chairs,,2,Pre-birth,bouncy_chair.png,bouncy_chair@2x.png,,,x,
