Staying Healthy (default pre-birth),,,Default Priority,Default When to Buy,Image Name,High Res Image,Queries,Contingencies,Image Pulled,Icon Created
Outlet Cover,Outlet Covers,,2,7-12 mo,outlet_cover.png,outlet_cover@2x.png,,-moves to 1 for cautious mama,x,
Baby Pain Reliever,Baby Pain Relievers,,2,4-6 mo,baby_pain_reliever.png,baby_pain_reliever@2x.png,,-moves to 1 for cautious mama,x,
Gate,Gates,,2,7-12 mo,baby_gate.png,baby_gate@2x.png,,,x,
Humidifier,Humidifiers,Baby Humidifier,2,Pre-birth,humidifier.png,humidifier@2x.png,,,x,
Air Purifier,Air Purifiers,,3,Pre-birth,air_purifier.png,air_purifier@2x.png,,-moves to 2 for cautious mama,x,
Toothbrush,Toothbrushes,Baby Toothbrush,1,13-18 mo,toothbrush.png,toothbrush@2x.png,,,x,
Toothpaste,Toothpastes,Baby Toothpaste,2,13-18 mo,toothpaste.png,toothpaste@2x.png,,,x,
Bath Spout Cover,Bath Spout Covers,,3,7-12 mo,bath_spout_cover.png,bath_spout_cover@2x.png,,,x,
Door/Drawer Latches,Door/Drawer Latches,Baby Drawer Lock,2,7-12 mo,drawer_latches.png,drawer_latches@2x.png,,,x,
Banister Guard,Bannister Guards,,3,7-12 mo,banister_guard.png,banister_guard@2x.png,,-moves to 2 for cautious mama,x,
Corner/Edge Guards,Corner/Edge Guards,,2,7-12 mo,corner_guard.png,corner_guard@2x.png,,,x,
Stove Knob Covers,Stove Knob Covers,,2,7-12 mo,stove_knob_cover.png,stove_knob_cover@2x.png,,,x,
Door Lock/Cover,Door Locks/Covers,,3,7-12 mo,door_cover.png,door_cover@2x.png,,-moves to 2 for cautious mama,x,
Toilet Lock,Toilet Locks,,3,7-12 mo,toilet_lock.png,toilet_lock@2x.png,,-moves to 2 for cautious mama,x,
Window Safety Supplies,Window Safety Supplies,,2,7-12 mo,window_safety_supplies.png,window_safety_supplies@2x.png,,-moves to 2 for cautious mama,x,
Fridge Latch,Fridge Latches,,3,7-12 mo,fridge_latch.png,fridge_latch@2x.png,,-moves to 2 for cautious mama,x,
Teether,Teethers,,2,4-6 mo,teether.png,teether@2x.png,,,x,
