id,category_name,name,plural_name,priority,slug,image_name,age,search_index,search_query,recommended_quantity,updated_at,ECO MOM NAME,ECO LINK,UPSCALE NAME,UPSCALE LINK,COST CONSCIOUS NAME,COST CONSCIOUS LINK,EXTRA NAME,EXTRA LINK,TWINS NAME,TWINS LINK
13,Expecting,Prenatal Vitamins,Prenatal Vitamins,1,prenatal-vitamins,products/icons/prenatal_vitamins@2x.png,0-3 mo,All,quality prenatal vitamins,1,2013-11-08 13:43:46 UTC,,,,,,,,,,
5,Expecting,Maternity Pants,Maternity Pants,1,maternity-pants,products/icons/maternity_pants@2x.png,0-3 mo,All,maternity jeans,3,2013-11-19 19:43:02 UTC,,,,,,,,,,
4,Expecting,Maternity Shirt,Maternity Shirts,1,maternity-shirt,products/icons/maternity_shirt@2x.png,0-3 mo,All,maternity blouse,6,2013-11-19 19:42:56 UTC,,,,,,,,,,
18,Nursing,Nursing Pillow,Nursing Pillows,1,nursing-pillow,products/icons/nursing_pillow@2x.png,0-3 mo,All,,1,2013-06-27 13:56:27 UTC,,,My Brest Friend Pillow,http://www.amazon.com/My-Brest-Friend-Pillow-Sunburst/dp/B000HZEQSU%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000HZEQSU,,,,,,
37,Playing,Blocks,Blocks,1,blocks,products/icons/blocks@2x.png,13-18 mo,All,,1,2013-06-27 13:56:29 UTC,,,,,,,,,,
45,Playing,Crayons,Crayons,1,crayons,products/icons/crayons@2x.png,13-18 mo,All,,1,2013-06-27 13:56:31 UTC,,,,,,,,,,
53,Playing,Grasping Toy,Grasping Toys,1,grasping-toy,products/icons/grasping_toy@2x.png,0-3 mo,All,,1,2013-06-27 13:56:32 UTC,,,Manhattan Toy Winkel,http://www.amazon.com/Manhattan-Toy-200940-Winkel/dp/B000BNCA4K%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000BNCA4K,Rhino Toys Oball,http://www.amazon.com/Rhino-Toys-Oball-Original-Colors/dp/B000BNC9DM%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000BNC9DM,,,,
33,Playing,Ball,Balls,1,ball,products/icons/ball@2x.png,4-6 mo,All,Toddler Ball,1,2013-07-30 17:12:14 UTC,,,,,,,,,,
34,Playing,Bath Toy,Bath Toys,1,bath-toy,products/icons/bath_toy@2x.png,7-12 mo,All,,1,2013-07-30 17:12:14 UTC,,,,,,,,,,
101,Sleeping,Swaddle Blanket,Swaddle Blankets,1,swaddle-blanket,products/icons/swaddling_blanket@2x.png,0-3 mo,All,,3,2013-11-19 19:47:34 UTC,,,,,,,,,,
100,Sleeping,Receiving Blanket,Receiving Blankets,1,receiving-blanket,products/icons/receiving_blanket@2x.png,0-3 mo,All,,5,2013-11-19 19:47:24 UTC,,,,,,,,,,
113,Reading,Kid Book,Kid Books,1,kid-book,products/icons/kid_book@2x.png,2y,All,,1,2013-06-27 13:56:40 UTC,,,,,,,,,,
112,Reading,Board Book,Board Books,1,board-book,products/icons/board_book@2x.png,4-6 mo,All,,10,2013-11-19 19:46:21 UTC,,,,,,,,,,
122,Staying Healthy,Toothbrush,Toothbrushes,1,toothbrush,products/icons/toothbrush@2x.png,13-18 mo,All,Baby Toothbrush,1,2013-07-30 17:12:13 UTC,,,,,,,,,,
168,Feeding,Bottle,Bottles,1,bottle,products/icons/bottle@2x.png,0-3 mo,All,Baby Bottle,8,2013-11-19 19:44:32 UTC,,,,,,,,,,
176,Feeding,Burp Cloth,Burp Cloths,1,burp-cloth,products/icons/burp_cloth@2x.png,0-3 mo,All,,4,2013-11-19 19:44:51 UTC,,,,,,,,,,
172,Feeding,Baby Spoon,Baby Spoons,1,baby-spoon,products/icons/spoon@2x.png,4-6 mo,All,,3,2013-11-19 19:43:17 UTC,,,,,,,,,,
167,Feeding,Wipeable Bib,Wipeable Bibs,1,wipeable-bib,products/icons/wipeable_bib@2x.png,7-12 mo,All,,2,2013-11-19 19:45:11 UTC,,,,,,,,,,
173,Feeding,Toddler Spoon,Toddler Spoons,1,toddler-spoon,products/icons/toddler_spoon@2x.png,13-18 mo,All,,1,2013-06-27 13:56:50 UTC,,,,,,,,,,
174,Feeding,High Chair,High Chairs,1,high-chair,products/icons/high_chair@2x.png,4-6 mo,All,,1,2013-11-05 21:30:30 UTC,Stokke Tripp Trapp Highchair,http://www.amazon.com/Stokke-Highchair-Anniversary-Edition-Natural/dp/B00A8Z11W8%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00A8Z11W8,,,,,,,,
169,Feeding,Bowl,Bowls,1,bowl,products/icons/bowl@2x.png,7-12 mo,All,Infant Bowl,3,2013-11-19 19:44:44 UTC,,,,,,,,,,
171,Feeding,Plate,Plates,1,plate,products/icons/plate@2x.png,7-12 mo,All,Toddler Plates,1,2013-11-08 13:51:33 UTC,,,,,,,,,,
191,Bathing,Bath Tub,Bath Tubs,1,bath-tub,products/icons/bath_tub@2x.png,0-3 mo,All,,1,2013-11-19 19:38:29 UTC,,,,,,,,,,
203,Getting Around,Infant Car Seat,Infant Car Seats,1,infant-car-seat,products/icons/infant_carseat@2x.png,0-3 mo,All,,1,2013-06-27 13:56:54 UTC,,,,,,,,,,
204,Getting Around,Convertible Car Seat,Convertible Car Seats,1,convertible-car-seat,products/icons/convertible_carseat@2x.png,7-12 mo,All,,1,2013-06-27 13:56:55 UTC,,,,,,,,,,
224,Changing,Diaper Cream or Ointment,Diaper Creams or Ointments,1,diaper-cream-or-ointment,products/icons/diaper_cream@2x.png,0-3 mo,All,,1,2013-06-27 13:56:57 UTC,Weleda Calendula Diaper Care Cream ,http://www.amazon.com/Baby-Care-Calendula-Diaper-Care-Cream/dp/B000FTCFI6%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000FTCFI6,,,,,,,,
222,Changing,Wipes,Wipes,1,wipes,products/icons/wipes@2x.png,0-3 mo,All,,1,2013-06-27 13:56:57 UTC,,,,,,,,,,
220,Changing,Disposable Diapers,Disposable Diapers,1,disposable-diapers,products/icons/disposable_diapers@2x.png,0-3 mo,All,,2,2013-11-19 19:39:57 UTC,,,,,,,,,,
230,Changing,Changing Table Pad Cover,Changing Table Pad Covers,1,changing-table-pad-cover,products/icons/changing_table_cover@2x.png,0-3 mo,All,,3,2013-11-19 19:38:56 UTC,,,,,,,,,,
225,Changing,Diaper Pail,Diaper Pails,1,diaper-pail,products/icons/diaper_pail@2x.png,0-3 mo,All,,1,2013-06-27 13:56:57 UTC,,,Ubbi Steel Diaper Pail,http://www.amazon.com/Ubbi-Steel-Diaper-Pail-White/dp/B00821FLT4%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00821FLT4,,,,,,
229,Changing,Changing Table Pad,Changing Table Pads,1,changing-table-pad,products/icons/changing_table_pad@2x.png,0-3 mo,All,,1,2013-06-27 13:56:58 UTC,,,Keekaroo Peanut Diaper Changer,http://www.amazon.com/Keekaroo-Peanut-Diaper-Changer-Solid/dp/B009A7VTYA%3FSubscriptionId%3DAKIAIXAEIBVZBZEU56MQ%26tag%3Dmamajamas-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB009A7VTYA,,,,,,
